or (ug/ml),ug NO3-N/g dry soil,ug NH4-N/g dry soil,ug N/g dry soil
Sample,final_value,final_value,PAN
1_A10_T1_R1_D1,5.973391849,3.075851027,9.049242875
2_A10_T1_R2_D1,6.240857155,3.21849919,9.459356345
3_A10_T1_R3_D1,8.084656434,3.406456363,11.4911128
4_A10_T1_R4_D1,6.740097104,3.693923348,10.43402045
5_A10_T2_R1_D1,44.07217324,22.97123147,67.04340471
6_A10_T2_R2_D1,40.83220986,22.28437113,63.11658099
7_A10_T2_R3_D1,62.22460289,32.86549099,95.09009388
8_A10_T2_R4_D1,41.49098737,23.85294105,65.34392842
9_A10_T3_R1_D1,29.9274478,19.92960325,49.85705104
10_A10_T3_R2_D1,21.21891433,9.459356345,30.67827067
11_A10_T3_R3_D1,29.36099768,15.473529,44.83452668
12_A10_T3_R4_D1,34.64786543,16.96518097,51.6130464
13_A10_T4_R1_D1,14.15164733,7.97995669,22.13160402
14_A10_T4_R2_D1,10.50404743,5.873513191,16.37756063
15_A10_T4_R3_D1,12.38269142,9.149433101,21.53212452
16_A10_T4_R4_D1,8.753372862,4.472973533,13.2263464
17_A10_T5_R1_D1,7.030073867,4.025439557,11.05551342
18_A10_T5_R2_D1,14.2527525,5.652949808,19.90570231
19_A10_T5_R3_D1,10.85696056,5.48512529,16.34208585
20_A10_T5_R4_D1,10.35562734,4.432935213,14.78856256
21_A10_T6_R1_D1,13.62582545,8.466179547,22.092005
22_A10_T6_R2_D1,12.4994609,8.925540967,21.42500187
23_A10_T6_R3_D1,17.59128384,10.24028925,27.83157309
24_A10_T6_R4_D1,17.53189541,11.98164251,29.51353793
145_B15_T1_R1_D1,8.502725967,5.485629656,13.98835562
146_B15_T1_R2_D1,4.754212369,6.079906202,10.83411857
147_B15_T1_R3_D1,9.304567904,4.216132332,13.52070024
148_B15_T1_R4_D1,8.044574334,5.117512347,13.16208668
149_B15_T2_R1_D1,42.30695815,25.84079184,68.14774999
150_B15_T2_R2_D1,36.52157658,22.37956069,58.90113727
151_B15_T2_R3_D1,31.13756038,23.50123073,54.63879111
152_B15_T2_R4_D1,35.6675103,21.64281264,57.31032293
153_B15_T3_R1_D1,28.89098286,15.25005044,44.1410333
154_B15_T3_R2_D1,26.74470703,14.29490612,41.03961315
155_B15_T3_R3_D1,34.90637172,26.30989252,61.21626424
156_B15_T3_R4_D1,24.04228018,19.43883584,43.48111602
157_B15_T4_R1_D1,11.76993777,7.378465189,19.14840296
158_B15_T4_R2_D1,10.15739744,10.42764013,20.58503757
159_B15_T4_R3_D1,16.27403465,5.549628669,21.82366332
160_B15_T4_R4_D1,12.54231039,8.979154026,21.52146441
161_B15_T5_R1_D1,11.45336013,4.854462639,16.30782277
162_B15_T5_R2_D1,9.498413069,5.728124616,15.22653768
163_B15_T5_R3_D1,8.480029057,4.836412177,13.31644123
164_B15_T5_R4_D1,11.18905182,6.087901422,17.27695324
165_B15_T6_R1_D1,15.4511902,9.837562517,25.28875272
166_B15_T6_R2_D1,15.58287048,7.249835473,22.83270595
167_B15_T6_R3_D1,15.70145834,7.647191746,23.34865008
168_B15_T6_R4_D1,14.91774796,10.29989732,25.21764527
289_C20_T1_R1_D1,6.781207503,3.610276671,10.39148417
290_C20_T1_R2_D1,11.36536221,5.078332478,16.44369468
291_C20_T1_R3_D1,10.81406154,5.153728425,15.96778996
292_C20_T1_R4_D1,15.0810328,7.755959727,22.83699253
293_C20_T2_R1_D1,31.85764074,67.35893825,99.21657899
294_C20_T2_R2_D1,40.71293444,24.1980037,64.91093814
295_C20_T2_R3_D1,42.97948417,27.84115475,70.82063892
296_C20_T2_R4_D1,44.10427771,27.91499666,72.01927437
297_C20_T3_R1_D1,37.6557465,22.66838471,60.32413121
298_C20_T3_R2_D1,25.88320047,15.90240914,41.78560961
299_C20_T3_R3_D1,23.36213342,12.85368345,36.21581687
300_C20_T3_R4_D1,25.03796229,15.47092767,40.50888997
301_C20_T4_R1_D1,12.95738905,8.60253724,21.55992629
302_C20_T4_R2_D1,10.91148551,6.176680192,17.08816571
303_C20_T4_R3_D1,11.20375745,3.984640692,15.18839814
304_C20_T4_R4_D1,10.5217896,6.53714891,17.05893851
305_C20_T5_R1_D1,10.50609613,5.262599062,15.76869519
306_C20_T5_R2_D1,10.95950831,8.580264625,19.53977294
307_C20_T5_R3_D1,9.033406278,5.827432678,14.86083896
308_C20_T5_R4_D1,9.476220312,11.92941006,21.40563037
309_C20_T6_R1_D1,16.71424385,5.138436108,21.85267995
310_C20_T6_R2_D1,18.24393817,8.65258621,26.89652438
311_C20_T6_R3_D1,15.83040089,10.96887541,26.7992763
312_C20_T6_R4_D1,16.04567409,19.18795193,35.23362603
